,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,TotalPages,TotalDuration,AvgDurationPerPage,ProductPageRatio,BounceExitDelta
Administrative,1.0,0.6005,0.3753,0.2548,0.4283,0.3711,-0.2131,-0.3113,0.097,-0.097,0.4913,0.4184,-0.0019,-0.4844,-0.2334
Administrative_Duration,0.6005,1.0,0.3014,0.2372,0.2869,0.3536,-0.1369,-0.202,0.0662,-0.0747,0.3255,0.4353,0.1336,-0.3101,-0.1545
Informational,0.3753,0.3014,1.0,0.6186,0.3726,0.3861,-0.1091,-0.1594,0.0474,-0.0494,0.4105,0.4316,0.0498,-0.2396,-0.1197
Informational_Duration,0.2548,0.2372,0.6186,1.0,0.2791,0.3466,-0.0699,-0.1029,0.0301,-0.0313,0.302,0.4153,0.1252,-0.1336,-0.0783
ProductRelated,0.4283,0.2869,0.3726,0.2791,1.0,0.8603,-0.1929,-0.2861,0.0542,-0.0258,0.9972,0.8522,-0.0058,0.1215,-0.2212
ProductRelated_Duration,0.3711,0.3536,0.3861,0.3466,0.8603,1.0,-0.1738,-0.2453,0.0509,-0.0381,0.8599,0.9939,0.2026,0.0959,-0.1707
BounceRates,-0.2131,-0.1369,-0.1091,-0.0699,-0.1929,-0.1738,1.0,0.9021,-0.1158,0.0886,-0.2027,-0.18,-0.1731,0.1414,-0.1784
ExitRates,-0.3113,-0.202,-0.1594,-0.1029,-0.2861,-0.2453,0.9021,1.0,-0.1736,0.1172,-0.3002,-0.255,-0.1396,0.1727,0.2636
PageValues,0.097,0.0662,0.0474,0.0301,0.0542,0.0509,-0.1158,-0.1736,1.0,-0.0645,0.0601,0.0557,0.0375,-0.0125,-0.1371
SpecialDay,-0.097,-0.0747,-0.0494,-0.0313,-0.0258,-0.0381,0.0886,0.1172,-0.0645,1.0,-0.033,-0.0445,-0.037,0.0903,0.0691
TotalPages,0.4913,0.3255,0.4105,0.302,0.9972,0.8599,-0.2027,-0.3002,0.0601,-0.033,1.0,0.8568,-0.0043,0.075,-0.2315
TotalDuration,0.4184,0.4353,0.4316,0.4153,0.8522,0.9939,-0.18,-0.255,0.0557,-0.0445,0.8568,1.0,0.2106,0.0539,-0.1792
AvgDurationPerPage,-0.0019,0.1336,0.0498,0.1252,-0.0058,0.2026,-0.1731,-0.1396,0.0375,-0.037,-0.0043,0.2106,1.0,-0.0133,0.0688
ProductPageRatio,-0.4844,-0.3101,-0.2396,-0.1336,0.1215,0.0959,0.1414,0.1727,-0.0125,0.0903,0.075,0.0539,-0.0133,1.0,0.0778
BounceExitDelta,-0.2334,-0.1545,-0.1197,-0.0783,-0.2212,-0.1707,-0.1784,0.2636,-0.1371,0.0691,-0.2315,-0.1792,0.0688,0.0778,1.0
