column,dtype,n_null,pct_null,n_unique,pct_zero
Administrative,int64,0,0.0,27,46.78
Administrative_Duration,float64,0,0.0,3335,47.88
Informational,int64,0,0.0,17,78.66
Informational_Duration,float64,0,0.0,1258,80.49
ProductRelated,int64,0,0.0,311,0.31
ProductRelated_Duration,float64,0,0.0,9551,6.12
BounceRates,float64,0,0.0,1872,44.75
ExitRates,float64,0,0.0,4777,0.62
PageValues,float64,0,0.0,2704,77.86
SpecialDay,float64,0,0.0,6,89.85
Month,object,0,0.0,10,
OperatingSystems,int64,0,0.0,8,0.0
Browser,int64,0,0.0,13,0.0
Region,int64,0,0.0,9,0.0
TrafficType,int64,0,0.0,20,0.0
VisitorType,object,0,0.0,3,
Weekend,bool,0,0.0,2,76.74
Revenue,bool,0,0.0,2,84.53
