,mutual_information
PageValues,0.16379
ExitRates,0.04171
TotalDuration,0.03462
ProductRelated_Duration,0.03142
ProductRelated,0.0267
ProductPageRatio,0.02562
BounceExitDelta,0.02554
TotalPages,0.02162
AvgDurationPerPage,0.02111
BounceRates,0.01876
TrafficType,0.01539
Month,0.01524
Administrative_Duration,0.01424
Administrative,0.01332
Informational_Duration,0.00575
SpecialDay,0.00544
VisitorType,0.00481
Informational,0.00471
OperatingSystems,0.00325
Browser,0.00126
Region,0.0004
Weekend,0.00038
