column,q1,q3,lower_bound,upper_bound,n_outliers,pct_outliers,max,skew
PageValues,0.0,0.0,0.0,0.0,2730,22.37,361.7637,6.351
Informational,0.0,0.0,0.0,0.0,2631,21.56,24.0,4.014
Informational_Duration,0.0,0.0,0.0,0.0,2405,19.71,2549.375,7.54
BounceRates,0.0,0.0167,-0.025,0.0417,1428,11.7,0.2,3.162
ExitRates,0.0142,0.0485,-0.0372,0.1,1325,10.86,0.2,2.235
SpecialDay,0.0,0.0,0.0,0.0,1249,10.23,1.0,3.286
Administrative_Duration,0.0,94.7,-142.05,236.75,1149,9.41,3398.75,5.592
ProductRelated,8.0,38.0,-37.0,83.0,1007,8.25,705.0,4.333
TotalPages,9.0,42.0,-40.5,91.5,971,7.96,746.0,4.185
ProductRelated_Duration,193.0,1477.1548,-1733.2321,3403.3869,951,7.79,63973.5222,7.253
TotalDuration,231.6667,1643.9583,-1886.7708,3762.3958,922,7.55,69921.6472,7.528
AvgDurationPerPage,18.5556,45.6883,-22.1435,86.3874,751,6.15,1410.9993,10.853
BounceExitDelta,0.0083,0.0275,-0.0204,0.0563,732,6.0,0.2,2.171
ProductPageRatio,0.8571,1.0,0.6429,1.2143,710,5.82,1.0,-2.406
Administrative,0.0,4.0,-6.0,10.0,404,3.31,27.0,1.947
