,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,VisitorType,Weekend,OperatingSystems,Browser,Region,TrafficType,actual,probability,predicted
7513,0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Nov,Returning_Visitor,False,3,2,1,11,1,0.04088848,0
10513,0,0.0,0,0.0,3,71.16666667,0.066666667,0.083333333,0.0,0.0,Nov,Returning_Visitor,False,3,2,1,3,1,0.06907387,0
6476,1,169.2,0,0.0,24,1433.163333,0.008333333,0.006944444,0.0,0.0,Aug,Returning_Visitor,True,3,2,3,4,1,0.10095864,0
11681,0,0.0,0,0.0,6,81.75,0.0,0.066666667,0.0,0.0,Nov,Returning_Visitor,False,2,2,1,3,1,0.13640992,0
7263,4,822.7666667,0,0.0,17,1229.466667,0.0,0.041269841,0.0,0.0,June,Returning_Visitor,False,2,2,1,16,1,0.14657702,0
11185,6,116.6973684,0,0.0,171,9405.836721,0.008313228,0.028256171,0.0,0.0,Dec,Returning_Visitor,False,3,2,3,2,1,0.16880327,0
10723,0,0.0,0,0.0,4,87.875,0.0,0.026666667,0.0,0.0,Nov,Returning_Visitor,True,1,1,4,10,1,0.16913918,0
8018,2,256.5,0,0.0,10,117.25,0.110714286,0.130952381,0.0,0.0,Nov,Returning_Visitor,True,2,2,7,11,1,0.17950413,0
8953,5,175.9166667,0,0.0,12,276.25,0.013333333,0.046666667,0.0,0.0,Dec,Returning_Visitor,False,3,2,1,3,1,0.18311252,0
7769,10,471.06,0,0.0,171,5830.91,0.001098901,0.005494505,0.0,0.0,Oct,Returning_Visitor,False,2,10,4,2,1,0.19340329,0
