,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,VisitorType,Weekend,OperatingSystems,Browser,Region,TrafficType,actual,probability,predicted
11966,1,4.0,0,0.0,15,377.5,0.0,0.002040816,69.7132141,0.0,Nov,Other,False,8,13,9,20,0,0.9700861,1
11766,1,153.5,0,0.0,20,1002.847222,0.0,0.00952381,41.13433129,0.0,Nov,Returning_Visitor,False,2,2,4,2,0,0.9633978,1
1391,1,26.0,0,0.0,16,638.8333333,0.0,0.0125,20.26155684,0.0,Mar,New_Visitor,False,2,4,2,2,0,0.9587073,1
5969,0,0.0,0,0.0,6,222.4,0.0,0.033333333,63.55337685,0.0,Jul,Returning_Visitor,True,1,1,4,4,0,0.9474069,1
5688,4,158.2,0,0.0,62,4402.25,0.0,0.001041667,246.7585902,0.0,Oct,New_Visitor,False,4,1,8,2,0,0.94281924,1
664,2,25.0,0,0.0,20,667.9166667,0.0,0.00952381,18.5847619,0.0,Mar,Returning_Visitor,False,4,1,1,3,0,0.9415628,1
2068,1,22.75,0,0.0,16,461.0833333,0.0,0.011458333,17.991,0.0,May,Returning_Visitor,False,2,2,1,4,0,0.94144076,1
4623,1,32.0,0,0.0,13,813.8,0.0,0.030769231,32.43738462,0.0,May,Returning_Visitor,True,1,1,3,4,0,0.9411862,1
3230,3,112.0,0,0.0,20,1187.5,0.0,0.016666667,26.8752,0.0,May,Returning_Visitor,False,2,2,1,4,0,0.93946815,1
8291,2,95.0,0,0.0,20,1031.083333,0.0,0.021052632,68.20038032,0.0,Dec,Returning_Visitor,False,2,2,1,10,0,0.9391561,1
