,importance
PageValues,0.2519855
Month_Nov,0.06107958
Month_May,0.038017787
Month_Mar,0.034762222
ExitRates,0.02421278
TotalDuration,0.017669514
Browser_8,0.016202183
VisitorType_Returning_Visitor,0.015809651
Month_Jul,0.015709912
ProductPageRatio,0.015422048
OperatingSystems_8,0.013951987
ProductRelated_Duration,0.013900522
TrafficType_2,0.013676793
Month_Sep,0.013390673
TotalPages,0.013386129
TrafficType_3,0.013175646
BounceRates,0.012881234
TrafficType_13,0.012751763
TrafficType_8,0.012429847
VisitorType_New_Visitor,0.012341057
SpecialDay,0.0122397635
Month_Oct,0.011884846
Administrative,0.011506878
Month_Dec,0.010923565
OperatingSystems_4,0.010790359
Month_June,0.01063132
Administrative_Duration,0.010518438
BounceExitDelta,0.010406191
TrafficType_11,0.010394361
VisitorType_Other,0.010384268
ProductRelated,0.010360277
Region_4,0.010114042
OperatingSystems_3,0.009931292
Region_8,0.009626638
Browser_4,0.009520056
AvgDurationPerPage,0.009502709
Informational,0.009466388
Informational_Duration,0.009397116
Weekend_True,0.009349001
Month_Aug,0.0091315545
Region_7,0.009050023
TrafficType_1,0.009014572
TrafficType_10,0.009006563
TrafficType_20,0.008945894
Month_Feb,0.008901306
Region_2,0.0087476345
Weekend_False,0.008681464
Region_6,0.008599001
Browser_5,0.008469511
Region_5,0.008227264
TrafficType_5,0.008183895
Browser_10,0.007883611
Region_9,0.007827407
Browser_2,0.0076697734
OperatingSystems_2,0.007586075
Browser_1,0.007300323
TrafficType_4,0.007131938
OperatingSystems_1,0.0070006466
Region_3,0.0064913854
TrafficType_6,0.0063490854
Region_1,0.006144386
Browser_6,0.003952364
OperatingSystems_5,0.0
Browser_9,0.0
Browser_7,0.0
Browser_3,0.0
OperatingSystems_6,0.0
OperatingSystems_7,0.0
Browser_11,0.0
Browser_12,0.0
Browser_13,0.0
TrafficType_9,0.0
TrafficType_7,0.0
TrafficType_15,0.0
TrafficType_14,0.0
TrafficType_16,0.0
TrafficType_17,0.0
TrafficType_18,0.0
TrafficType_19,0.0
