,mean_abs_shap
PageValues,1.6374285
Month_Nov,0.37431437
Month_May,0.34383637
ExitRates,0.1981184
Month_Mar,0.18497482
ProductPageRatio,0.15625176
BounceRates,0.101230055
AvgDurationPerPage,0.05835847
BounceExitDelta,0.05538238
ProductRelated_Duration,0.052538186
Administrative_Duration,0.05170266
TotalDuration,0.04925629
TotalPages,0.0469751
TrafficType_2,0.037178148
Administrative,0.03551405
ProductRelated,0.02860366
VisitorType_Returning_Visitor,0.025477381
TrafficType_3,0.023706706
Month_Dec,0.023274608
VisitorType_New_Visitor,0.020242225
TrafficType_13,0.020056931
TrafficType_1,0.01667828
Month_Sep,0.0142521905
Month_Jul,0.0136864185
SpecialDay,0.013600712
Browser_4,0.010999946
OperatingSystems_3,0.010788147
TrafficType_8,0.01007167
Informational_Duration,0.009445257
OperatingSystems_2,0.0072153686
Month_Oct,0.006840076
Weekend_False,0.0059333416
Informational,0.005379029
Browser_2,0.005282069
Region_4,0.004770035
TrafficType_5,0.004597625
TrafficType_10,0.0043425155
Region_1,0.0041993978
Region_3,0.003956116
Month_Aug,0.003577705
Browser_1,0.0031138728
Browser_5,0.002643921
TrafficType_20,0.0025465323
Region_6,0.002505598
Region_2,0.0024186408
OperatingSystems_1,0.002081868
TrafficType_11,0.0018754501
Region_5,0.0017641179
Weekend_True,0.0016624857
Region_9,0.0015390266
Region_7,0.0013299857
TrafficType_4,0.0013050652
TrafficType_6,0.0011000932
Browser_10,0.0010925586
Month_Feb,0.0009690484
OperatingSystems_4,0.00067961303
Month_June,0.0005496672
Browser_6,0.00044757963
Region_8,0.00042592234
Browser_8,0.0001389405
OperatingSystems_8,8.788675e-05
VisitorType_Other,3.091225e-05
OperatingSystems_5,0.0
Browser_9,0.0
Browser_7,0.0
Browser_3,0.0
OperatingSystems_6,0.0
OperatingSystems_7,0.0
Browser_11,0.0
Browser_12,0.0
Browser_13,0.0
TrafficType_9,0.0
TrafficType_7,0.0
TrafficType_15,0.0
TrafficType_14,0.0
TrafficType_16,0.0
TrafficType_17,0.0
TrafficType_18,0.0
TrafficType_19,0.0
