threshold,precision,recall,f1,n_flagged,true_negative,false_positive,false_negative,true_positive,expected_value
0.05,0.2421,0.9974,0.3896,1574,866,1193,1,381,-3298.0
0.06,0.252,0.9974,0.4023,1512,928,1131,1,381,-2988.0
0.07,0.2589,0.9948,0.4108,1468,971,1088,2,380,-2780.0
0.08,0.2672,0.9948,0.4213,1422,1017,1042,2,380,-2550.0
0.09,0.2732,0.9948,0.4287,1391,1048,1011,2,380,-2395.0
0.1,0.2782,0.9948,0.4348,1366,1073,986,2,380,-2270.0
0.11,0.2843,0.9921,0.442,1333,1105,954,3,379,-2117.0
0.12,0.2911,0.9921,0.4501,1302,1136,923,3,379,-1962.0
0.13,0.2982,0.9921,0.4586,1271,1167,892,3,379,-1807.0
0.14,0.3039,0.9895,0.4649,1244,1193,866,4,378,-1684.0
0.15,0.3108,0.9869,0.4727,1213,1223,836,5,377,-1541.0
0.16,0.32,0.9869,0.4833,1178,1258,801,5,377,-1366.0
0.17,0.3292,0.9817,0.4931,1139,1295,764,7,375,-1195.0
0.18,0.3382,0.9791,0.5027,1106,1327,732,8,374,-1042.0
0.19,0.3444,0.9764,0.5092,1083,1349,710,9,373,-939.0
0.2,0.3497,0.9712,0.5142,1061,1369,690,11,371,-853.0
0.21,0.361,0.9686,0.5259,1025,1404,655,12,370,-685.0
0.22,0.3684,0.9634,0.5329,999,1428,631,14,368,-579.0
0.23,0.3727,0.9581,0.5367,982,1443,616,16,366,-518.0
0.24,0.3834,0.9555,0.5472,952,1472,587,17,365,-380.0
0.25,0.388,0.9476,0.5506,933,1488,571,20,362,-321.0
0.26,0.3984,0.9398,0.5596,901,1517,542,23,359,-197.0
0.27,0.4075,0.9398,0.5685,881,1537,522,23,359,-97.0
0.28,0.4184,0.9398,0.579,858,1560,499,23,359,18.0
0.29,0.4258,0.9319,0.5846,836,1579,480,26,356,92.0
0.3,0.4331,0.9319,0.5914,822,1593,466,26,356,162.0
0.31,0.4421,0.9293,0.5992,803,1611,448,27,355,245.0
0.32,0.452,0.9241,0.6071,781,1631,428,29,353,331.0
0.33,0.4607,0.9215,0.6143,764,1647,412,30,352,404.0
0.34,0.4692,0.9162,0.6206,746,1663,396,32,350,470.0
0.35,0.4761,0.911,0.6253,731,1676,383,34,348,521.0
0.36,0.4812,0.9058,0.6285,719,1686,373,36,346,557.0
0.37,0.4832,0.9031,0.6296,714,1690,369,37,345,570.0
0.38,0.4907,0.8979,0.6346,699,1703,356,39,343,621.0
0.39,0.4942,0.8874,0.6348,686,1712,347,43,339,638.0
0.4,0.5022,0.877,0.6387,667,1727,332,47,335,685.0
0.41,0.5061,0.8665,0.639,654,1736,323,51,331,702.0
0.42,0.5116,0.8639,0.6426,645,1744,315,52,330,735.0
0.43,0.5118,0.8508,0.6391,635,1749,310,57,325,725.0
0.44,0.5184,0.8482,0.6435,625,1758,301,58,324,763.0
0.45,0.5252,0.8455,0.6479,615,1767,292,59,323,801.0
0.46,0.5322,0.8429,0.6525,605,1776,283,60,322,839.0
0.47,0.5422,0.8403,0.6591,592,1788,271,61,321,892.0
0.48,0.5506,0.8403,0.6653,583,1797,262,61,321,937.0
0.49,0.5536,0.8377,0.6667,578,1801,258,62,320,950.0
0.5,0.5585,0.8377,0.6702,573,1806,253,62,320,975.0
0.51,0.5676,0.8351,0.6758,562,1816,243,63,319,1018.0
0.52,0.5686,0.8246,0.6731,554,1820,239,67,315,1010.0
0.53,0.574,0.822,0.676,547,1826,233,68,314,1033.0
0.54,0.5779,0.8063,0.6732,533,1834,225,74,308,1031.0
0.55,0.5821,0.7984,0.6733,524,1840,219,77,305,1040.0
0.56,0.5853,0.7906,0.6726,516,1845,214,80,302,1044.0
0.57,0.5941,0.7853,0.6764,505,1854,205,82,300,1075.0
0.58,0.5996,0.7801,0.678,497,1860,199,84,298,1091.0
0.59,0.6045,0.7723,0.6782,488,1866,193,87,295,1100.0
0.6,0.6133,0.7723,0.6837,481,1873,186,87,295,1135.0
0.61,0.6181,0.767,0.6846,474,1878,181,89,293,1146.0
0.62,0.6218,0.7618,0.6847,468,1882,177,91,291,1152.0
0.63,0.625,0.7592,0.6856,464,1885,174,92,290,1160.0
0.64,0.6313,0.7487,0.685,453,1892,167,96,286,1167.0
0.65,0.6351,0.7382,0.6828,444,1897,162,100,282,1164.0
0.66,0.6382,0.7251,0.6789,434,1902,157,105,277,1154.0
0.67,0.6493,0.7173,0.6816,422,1911,148,108,274,1178.0
0.68,0.6538,0.712,0.6817,416,1915,144,110,272,1184.0
0.69,0.6642,0.7042,0.6836,405,1923,136,113,269,1203.0
0.7,0.6768,0.7016,0.6889,396,1931,128,114,268,1236.0
0.71,0.6804,0.6911,0.6857,388,1935,124,118,264,1228.0
0.72,0.6815,0.6832,0.6824,383,1937,122,121,261,1217.0
0.73,0.689,0.6728,0.6808,373,1943,116,125,257,1219.0
0.74,0.7014,0.6702,0.6854,365,1950,109,126,256,1247.0
0.75,0.7095,0.6649,0.6865,358,1955,104,128,254,1258.0
0.76,0.7131,0.6571,0.6839,352,1958,101,131,251,1252.0
0.77,0.7188,0.6492,0.6823,345,1962,97,134,248,1251.0
0.78,0.7249,0.6414,0.6806,338,1966,93,137,245,1250.0
0.79,0.7267,0.6335,0.6769,333,1968,91,140,242,1239.0
0.8,0.7278,0.623,0.6714,327,1970,89,144,238,1221.0
0.81,0.7312,0.6126,0.6667,320,1973,86,148,234,1208.0
0.82,0.738,0.6047,0.6647,313,1977,82,151,231,1207.0
0.83,0.7391,0.5785,0.649,299,1981,78,161,221,1157.0
0.84,0.7616,0.5602,0.6456,281,1992,67,168,214,1163.0
0.85,0.7698,0.534,0.6306,265,1998,61,178,204,1123.0
0.86,0.7992,0.5209,0.6307,249,2009,50,183,199,1143.0
0.87,0.8009,0.4843,0.6036,231,2013,46,197,185,1065.0
0.88,0.8111,0.4607,0.5876,217,2018,41,206,176,1027.0
0.89,0.8359,0.4267,0.565,195,2027,32,219,163,981.0
0.9,0.858,0.3953,0.5412,176,2034,25,231,151,932.0
0.91,0.8734,0.3613,0.5111,158,2039,20,244,138,866.0
0.92,0.8571,0.3141,0.4598,140,2039,20,262,120,740.0
0.93,0.887,0.267,0.4105,115,2046,13,280,102,649.0
0.94,0.9192,0.2382,0.3784,99,2051,8,291,91,597.0
0.95,0.9565,0.1728,0.2927,69,2056,3,316,66,447.0
